freq,mag,phase
1.89000e+002,3.15846e+000,-4.39667e+001
1.90000e+002,3.18047e+000,-4.38158e+001
1.91000e+002,3.20225e+000,-4.36657e+001
1.92000e+002,3.22379e+000,-4.35164e+001
1.93000e+002,3.24510e+000,-4.33680e+001
1.94000e+002,3.26619e+000,-4.32203e+001
1.95000e+002,3.28706e+000,-4.30735e+001
1.96000e+002,3.30770e+000,-4.29275e+001
1.97000e+002,3.32813e+000,-4.27822e+001
1.98000e+002,3.34834e+000,-4.26378e+001
1.99000e+002,3.36834e+000,-4.24942e+001
2.00000e+002,3.38814e+000,-4.23513e+001
2.01000e+002,3.40772e+000,-4.22092e+001
2.02000e+002,3.42710e+000,-4.20679e+001
2.03000e+002,3.44629e+000,-4.19273e+001
2.04000e+002,3.46527e+000,-4.17876e+001
2.05000e+002,3.48406e+000,-4.16485e+001
2.06000e+002,3.50266e+000,-4.15103e+001
2.07000e+002,3.52106e+000,-4.13728e+001
2.08000e+002,3.53928e+000,-4.12360e+001
2.09000e+002,3.55731e+000,-4.11000e+001
2.10000e+002,3.57516e+000,-4.09647e+001
2.11000e+002,3.59282e+000,-4.08302e+001
2.12000e+002,3.61031e+000,-4.06964e+001
2.13000e+002,3.62762e+000,-4.05633e+001
2.14000e+002,3.64476e+000,-4.04309e+001
2.15000e+002,3.66172e+000,-4.02993e+001
2.16000e+002,3.67852e+000,-4.01683e+001
2.17000e+002,3.69514e+000,-4.00381e+001
2.18000e+002,3.71161e+000,-3.99086e+001
2.19000e+002,3.72790e+000,-3.97797e+001
2.20000e+002,3.74404e+000,-3.96516e+001
2.21000e+002,3.76002e+000,-3.95241e+001
2.22000e+002,3.77583e+000,-3.93974e+001
2.23000e+002,3.79150e+000,-3.92713e+001
2.24000e+002,3.80701e+000,-3.91459e+001
2.25000e+002,3.82237e+000,-3.90212e+001
2.26000e+002,3.83757e+000,-3.88971e+001
2.27000e+002,3.85263e+000,-3.87737e+001
2.28000e+002,3.86755e+000,-3.86510e+001
2.29000e+002,3.88231e+000,-3.85289e+001
2.30000e+002,3.89694e+000,-3.84075e+001
2.31000e+002,3.91143e+000,-3.82867e+001
2.32000e+002,3.92577e+000,-3.81665e+001
2.33000e+002,3.93998e+000,-3.80471e+001
2.34000e+002,3.95405e+000,-3.79282e+001
2.35000e+002,3.96799e+000,-3.78100e+001
2.36000e+002,3.98179e+000,-3.76924e+001
2.37000e+002,3.99547e+000,-3.75754e+001
2.38000e+002,4.00901e+000,-3.74590e+001
2.39000e+002,4.02242e+000,-3.73433e+001
2.40000e+002,4.03571e+000,-3.72282e+001
2.41000e+002,4.04888e+000,-3.71136e+001
2.42000e+002,4.06192e+000,-3.69997e+001
2.43000e+002,4.07484e+000,-3.68864e+001
2.44000e+002,4.08763e+000,-3.67737e+001
2.45000e+002,4.10031e+000,-3.66615e+001
2.46000e+002,4.11287e+000,-3.65500e+001
2.47000e+002,4.12532e+000,-3.64390e+001
2.48000e+002,4.13765e+000,-3.63287e+001
2.49000e+002,4.14986e+000,-3.62189e+001
2.50000e+002,4.16196e+000,-3.61097e+001
2.51000e+002,4.17396e+000,-3.60010e+001
2.52000e+002,4.18584e+000,-3.58929e+001
2.53000e+002,4.19761e+000,-3.57854e+001
2.54000e+002,4.20928e+000,-3.56784e+001
2.55000e+002,4.22084e+000,-3.55720e+001
2.56000e+002,4.23229e+000,-3.54662e+001
2.57000e+002,4.24364e+000,-3.53608e+001
2.58000e+002,4.25489e+000,-3.52561e+001
2.59000e+002,4.26604e+000,-3.51519e+001
2.60000e+002,4.27709e+000,-3.50482e+001
2.61000e+002,4.28803e+000,-3.49450e+001
2.62000e+002,4.29888e+000,-3.48424e+001
2.63000e+002,4.30964e+000,-3.47403e+001
2.64000e+002,4.32029e+000,-3.46387e+001
2.65000e+002,4.33086e+000,-3.45377e+001
2.66000e+002,4.34133e+000,-3.44372e+001
2.67000e+002,4.35170e+000,-3.43371e+001
2.68000e+002,4.36199e+000,-3.42376e+001
2.69000e+002,4.37218e+000,-3.41386e+001
2.70000e+002,4.38229e+000,-3.40401e+001
2.71000e+002,4.39231e+000,-3.39422e+001
2.72000e+002,4.40224e+000,-3.38447e+001
2.73000e+002,4.41208e+000,-3.37477e+001
2.74000e+002,4.42184e+000,-3.36511e+001
2.75000e+002,4.43151e+000,-3.35551e+001
2.76000e+002,4.44110e+000,-3.34596e+001
2.77000e+002,4.45060e+000,-3.33645e+001
2.78000e+002,4.46003e+000,-3.32700e+001
2.79000e+002,4.46937e+000,-3.31759e+001
2.80000e+002,4.47863e+000,-3.30822e+001
2.81000e+002,4.48782e+000,-3.29891e+001
2.82000e+002,4.49692e+000,-3.28964e+001
2.83000e+002,4.50595e+000,-3.28041e+001
2.84000e+002,4.51490e+000,-3.27124e+001
2.85000e+002,4.52378e+000,-3.26211e+001
2.86000e+002,4.53258e+000,-3.25302e+001
2.87000e+002,4.54131e+000,-3.24398e+001
2.88000e+002,4.54996e+000,-3.23498e+001
2.89000e+002,4.55854e+000,-3.22603e+001
2.90000e+002,4.56705e+000,-3.21713e+001
2.91000e+002,4.57548e+000,-3.20826e+001
2.92000e+002,4.58385e+000,-3.19944e+001
2.93000e+002,4.59215e+000,-3.19067e+001
2.94000e+002,4.60038e+000,-3.18194e+001
2.95000e+002,4.60854e+000,-3.17325e+001
2.96000e+002,4.61663e+000,-3.16460e+001
2.97000e+002,4.62465e+000,-3.15599e+001
2.98000e+002,4.63261e+000,-3.14743e+001
2.99000e+002,4.64051e+000,-3.13891e+001
3.00000e+002,4.64834e+000,-3.13043e+001
3.01000e+002,4.65610e+000,-3.12199e+001
3.02000e+002,4.66381e+000,-3.11360e+001
3.03000e+002,4.67145e+000,-3.10524e+001
3.04000e+002,4.67902e+000,-3.09693e+001
3.05000e+002,4.68654e+000,-3.08865e+001
3.06000e+002,4.69400e+000,-3.08041e+001
3.07000e+002,4.70139e+000,-3.07222e+001
3.08000e+002,4.70873e+000,-3.06406e+001
3.09000e+002,4.71601e+000,-3.05595e+001
3.10000e+002,4.72323e+000,-3.04787e+001
3.11000e+002,4.73039e+000,-3.03983e+001
3.12000e+002,4.73749e+000,-3.03183e+001
3.13000e+002,4.74454e+000,-3.02386e+001
3.14000e+002,4.75153e+000,-3.01594e+001
3.15000e+002,4.75847e+000,-3.00805e+001
3.16000e+002,4.76535e+000,-3.00020e+001
3.17000e+002,4.77218e+000,-2.99239e+001
3.18000e+002,4.77895e+000,-2.98462e+001
3.19000e+002,4.78567e+000,-2.97688e+001
3.20000e+002,4.79234e+000,-2.96917e+001
3.21000e+002,4.79895e+000,-2.96151e+001
3.22000e+002,4.80552e+000,-2.95388e+001
3.23000e+002,4.81203e+000,-2.94629e+001
3.24000e+002,4.81849e+000,-2.93873e+001
3.25000e+002,4.82491e+000,-2.93121e+001
3.26000e+002,4.83127e+000,-2.92372e+001
3.27000e+002,4.83758e+000,-2.91627e+001
3.28000e+002,4.84385e+000,-2.90885e+001
3.29000e+002,4.85007e+000,-2.90147e+001
3.30000e+002,4.85624e+000,-2.89412e+001
3.31000e+002,4.86236e+000,-2.88680e+001
